Frame_Name,Start_X_px,Start_Y_px,End_X_px,End_Y_px,Center_X_px,Center_Y_px,Horizontal_Length_Microns
S1_H4_L1_p14_C04_T60_Seq001_Img000077.bmp,3,397,156,440,80,418,6475.45
S1_H4_L1_p14_C04_T60_Seq001_Img000078.bmp,64,35,185,57,124,46,5121.11
S1_H4_L1_p14_C04_T60_Seq001_Img000078.bmp,18,222,121,236,70,229,4359.29
S1_H4_L1_p14_C04_T60_Seq001_Img000078.bmp,16,425,96,445,56,435,3385.85
S1_H4_L1_p14_C04_T60_Seq001_Img000079.bmp,16,454,156,501,86,478,5925.25
S1_H4_L1_p14_C04_T60_Seq001_Img000080.bmp,62,63,150,76,106,70,3724.44
S1_H4_L1_p14_C04_T60_Seq001_Img000080.bmp,15,196,128,211,72,204,4782.52
S1_H4_L1_p14_C04_T60_Seq001_Img000080.bmp,9,250,106,264,58,257,4105.35
S1_H4_L1_p14_C04_T60_Seq001_Img000081.bmp,6,310,109,328,58,319,4359.29
S1_H4_L1_p14_C04_T60_Seq001_Img000082.bmp,11,369,107,392,59,380,4063.03
S1_H4_L1_p14_C04_T60_Seq001_Img000084.bmp,59,117,155,129,107,123,4063.03
S1_H4_L1_p14_C04_T60_Seq001_Img000084.bmp,34,143,148,159,91,151,4824.84
S1_H4_L1_p14_C04_T60_Seq001_Img000084.bmp,5,168,126,179,66,174,5121.11
S1_H4_L1_p14_C04_T60_Seq001_Img000085.bmp,47,90,147,105,97,98,4232.32
S1_H4_L1_p14_C04_T60_Seq001_Img000086.bmp,53,35,165,52,109,44,4740.2
S1_H4_L1_p14_C04_T60_Seq001_Img000086.bmp,19,222,121,237,70,230,4316.96
S1_H4_L1_p14_C04_T60_Seq001_Img000086.bmp,21,282,166,314,94,298,6136.86
S1_H4_L1_p14_C04_T60_Seq001_Img000087.bmp,10,451,135,491,72,471,5290.4
S1_H4_L1_p14_C04_T60_Seq001_Img000087.bmp,13,482,129,512,71,497,4909.49
S1_H4_L1_p14_C04_T60_Seq001_Img000088.bmp,73,63,152,75,112,69,3343.53
S1_H4_L1_p14_C04_T60_Seq001_Img000088.bmp,6,251,109,264,58,258,4359.29
S1_H4_L1_p14_C04_T60_Seq001_Img000088.bmp,14,400,118,426,66,413,4401.61
S1_H4_L1_p14_C04_T60_Seq001_Img000088.bmp,4,425,138,461,71,443,5671.31
S1_H4_L1_p14_C04_T60_Seq001_Img000089.bmp,25,197,131,210,78,204,4486.26
S1_H4_L1_p14_C04_T60_Seq001_Img000090.bmp,19,310,124,329,72,320,4443.93
S1_H4_L1_p14_C04_T60_Seq001_Img000090.bmp,19,340,251,415,135,378,9818.98
S1_H4_L1_p14_C04_T60_Seq001_Img000091.bmp,18,369,129,395,74,382,4697.87
S1_H4_L1_p14_C04_T60_Seq001_Img000093.bmp,46,116,165,134,106,125,5036.46
S1_H4_L1_p14_C04_T60_Seq001_Img000093.bmp,32,142,147,157,90,150,4867.17
S1_H4_L1_p14_C04_T60_Seq001_Img000094.bmp,105,69,127,73,116,71,931.11
S1_H4_L1_p14_C04_T60_Seq001_Img000094.bmp,37,168,145,182,91,175,4570.9
S1_H4_L1_p14_C04_T60_Seq001_Img000094.bmp,14,222,129,239,72,230,4867.17
S1_H4_L1_p14_C04_T60_Seq001_Img000095.bmp,62,35,167,52,114,44,4443.93
S1_H4_L1_p14_C04_T60_Seq001_Img000095.bmp,47,90,159,105,103,98,4740.2
S1_H4_L1_p14_C04_T60_Seq001_Img000095.bmp,13,480,131,512,72,496,4994.14
S1_H4_L1_p14_C04_T60_Seq001_Img000096.bmp,4,280,124,301,64,290,5078.78
S1_H4_L1_p14_C04_T60_Seq001_Img000096.bmp,8,451,147,497,78,474,5882.92
S1_H4_L1_p14_C04_T60_Seq001_Img000097.bmp,70,63,155,77,112,70,3597.47
S1_H4_L1_p14_C04_T60_Seq001_Img000097.bmp,21,196,120,207,70,202,4190.0
S1_H4_L1_p14_C04_T60_Seq001_Img000097.bmp,19,251,113,264,66,258,3978.38
S1_H4_L1_p14_C04_T60_Seq001_Img000097.bmp,15,427,111,450,63,438,4063.03
S1_H4_L1_p14_C04_T60_Seq001_Img000099.bmp,2,312,143,337,72,324,5967.57
S1_H4_L1_p14_C04_T60_Seq001_Img000100.bmp,16,115,121,126,68,120,4443.93
S1_H4_L1_p14_C04_T60_Seq001_Img000100.bmp,7,143,112,151,60,147,4443.93
S1_H4_L1_p14_C04_T60_Seq001_Img000100.bmp,16,370,126,397,71,384,4655.55
S1_H4_L1_p14_C04_T60_Seq001_Img000100.bmp,16,400,155,440,86,420,5882.92
